CspProjectId,Type,Context,CriteriaCloudAccounts,CriteriaRules
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,4f7f6670-346a-42f6-8b5d-47aff9d1745f
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,2934feef-113b-47ea-8583-9b5e1190f992
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,1d187035-9fff-48b2-a7c3-ffc56a4da5e6
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c264a7a550e1fb6560c4d
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,4f5d7fa2-f377-4ce9-8076-e98c0208ee78
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25ec7a550e1fb6560bbd
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,cf9c33e7-292e-45d7-8859-36cf218538a2
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,ab17b9a8-c319-40ee-9c0d-3c18293a4895
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,82176615813,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,cf9c33e7-292e-45d7-8859-36cf218538a2
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c25f67a550e1fb6560bd0
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,77539374103,5c8c25f77a550e1fb6560bd3
4c9e9e0d-84ab-4c18-9f6b-7084b2d9ad73,single,project,557350676069,5c8c263b7a550e1fb6560c35
