CspProjectId,Type,Context,CriteriaCloudAccounts,CriteriaRules
94d50054-0fe2-4da1-8f81-2f8a3e08e276,policy,project,,45a4ef9e-3eac-11eb-b378-0242ac130002; dc981b20-3ea6-11eb-b378-0242ac130002
94d50054-0fe2-4da1-8f81-2f8a3e08e276,policy,project,,5d211f33-640f-47d5-860d-20b8c4205597
94d50054-0fe2-4da1-8f81-2f8a3e08e276,policy,project,156884057084; 580610271700; 736176406297; 896639151772,82b26701-6d4a-44d1-b792-ba8314dbe985
94d50054-0fe2-4da1-8f81-2f8a3e08e276,policy,project,,5c8c25e67a550e1fb6560bb0
94d50054-0fe2-4da1-8f81-2f8a3e08e276,policy,project,,0ab2af7c-d8d7-4929-a843-faf404bb6a6d; 839ce1d3-d96c-475c-9787-164560f8a106; 99d931f0-b2aa-4366-8a3f-bfc6d2e9286f; c71c5c06-1911-4977-a5af-bb2642fccfda; d19cb41d-ac6c-4e95-848a-48f0fe9a9176
94d50054-0fe2-4da1-8f81-2f8a3e08e276,policy,project,,5f034e02-36b2-490c-943b-62f49393cb00
94d50054-0fe2-4da1-8f81-2f8a3e08e276,policy,project,,bdc54b11-ece6-44b4-92a6-2bd3783fd0f2
94d50054-0fe2-4da1-8f81-2f8a3e08e276,policy,project,,3f053c2e-2cfe-44b2-8a35-912a8ddb1270
94d50054-0fe2-4da1-8f81-2f8a3e08e276,policy,project,,5c8c265c7a550e1fb6560c63
