Id,CspProjectId,Type,Context,CriteriaCloudAccounts,CriteriaRules
0047ffe9-7303-4216-90d5-5d402410084e,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,897860998156,ec6d20f7-dc81-4e64-98df-5b9b95abdb18
007076b7-8151-43bf-8223-ae7246719753,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,897860998156,df70d6b1-fdca-4589-88d6-f9d08df4db0d
0082c7b6-cf31-4702-80df-4769b43f1066,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,699183880494,Recon:EC2/Portscan
0087548f-148e-4177-8d5b-54aa26e54365,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,699183880494,Recon:EC2/Portscan
00d65d57-9e3d-4d62-9e8e-c1fca7f7ac45,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,b3e3dc77-ef79-47f1-a579-bb391d35203a,577792f3-88e2-4443-bda0-53fc404e82bf
00e91b49-7d06-4fdf-8e12-6f00634891cf,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,897860998156,3c43ff29-5b19-4c77-9d4e-41c35bd22769
00fd4b00-27f4-4bc4-921b-13a9c6d27ec0,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,699183880494,ec6d20f7-dc81-4e64-98df-5b9b95abdb18
0101c411-ef10-4a41-902c-689094ccefe3,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,699183880494,Recon:EC2/Portscan
01280836-5856-4e0c-a464-db5e9fb7a4c0,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,640712918980,3f053c2e-2cfe-44b2-8a35-912a8ddb1270
01960bf2-897a-499b-8382-c6b36fcde3be,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,210265922058,6b67bc0d-73c3-441a-b474-ddbee36dd42c
01a00252-d0df-4ce6-b0c7-aa9dd4823d23,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,699183880494,df70d6b1-fdca-4589-88d6-f9d08df4db0d
01a21dec-9e78-4a03-801f-863d76976447,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,699183880494,ec6d20f7-dc81-4e64-98df-5b9b95abdb18
01a4d335-4826-42fd-b5f2-daa2e78e5c09,235ff0a4-9a67-4ad8-8038-0f45e2a700c6,single,project,699183880494,ec6d20f7-dc81-4e64-98df-5b9b95abdb18
